case_id,family,n,seed,oracle_valid,oracle_reason,distinct_values,upper_ok,lower_ok,algorithm,run_index,time_ns,sorted_correct,error
flat_valid_n64_003,flat_valid,64,,True,,True,True,True,python_sort,2,334,True,
flat_valid_n64_003,flat_valid,64,,True,,True,True,True,python_sort,3,334,True,
flat_valid_n64_003,flat_valid,64,,True,,True,True,True,python_sort,4,333,True,
flat_valid_n64_003,flat_valid,64,,True,,True,True,True,python_sort,5,333,True,
flat_valid_n64_003,flat_valid,64,,True,,True,True,True,merge_sort,1,36041,True,
flat_valid_n64_003,flat_valid,64,,True,,True,True,True,merge_sort,2,35708,True,
flat_valid_n64_003,flat_valid,64,,True,,True,True,True,merge_sort,3,35708,True,
flat_valid_n64_003,flat_valid,64,,True,,True,True,True,merge_sort,4,47042,True,
flat_valid_n64_003,flat_valid,64,,True,,True,True,True,merge_sort,5,38500,True,
flat_valid_n64_003,flat_valid,64,,True,,True,True,True,quick_sort,1,18542,True,
flat_valid_n64_003,flat_valid,64,,True,,True,True,True,quick_sort,2,18000,True,
flat_valid_n64_003,flat_valid,64,,True,,True,True,True,quick_sort,3,18000,True,
flat_valid_n64_003,flat_valid,64,,True,,True,True,True,quick_sort,4,28875,True,
flat_valid_n64_003,flat_valid,64,,True,,True,True,True,quick_sort,5,18041,True,
flat_valid_n64_003,flat_valid,64,,True,,True,True,True,sort_plus_laminarity_check,1,115875,True,
flat_valid_n64_003,flat_valid,64,,True,,True,True,True,sort_plus_laminarity_check,2,103875,True,
flat_valid_n64_003,flat_valid,64,,True,,True,True,True,sort_plus_laminarity_check,3,114291,True,
flat_valid_n64_003,flat_valid,64,,True,,True,True,True,sort_plus_laminarity_check,4,111292,True,
flat_valid_n64_003,flat_valid,64,,True,,True,True,True,sort_plus_laminarity_check,5,100583,True,
flat_valid_n128_001,flat_valid,128,,True,,True,True,True,python_sort,1,750,True,
flat_valid_n128_001,flat_valid,128,,True,,True,True,True,python_sort,2,542,True,
flat_valid_n128_001,flat_valid,128,,True,,True,True,True,python_sort,3,542,True,
flat_valid_n128_001,flat_valid,128,,True,,True,True,True,python_sort,4,583,True,
flat_valid_n128_001,flat_valid,128,,True,,True,True,True,python_sort,5,584,True,
flat_valid_n128_001,flat_valid,128,,True,,True,True,True,merge_sort,1,93208,True,
flat_valid_n128_001,flat_valid,128,,True,,True,True,True,merge_sort,2,76166,True,
flat_valid_n128_001,flat_valid,128,,True,,True,True,True,merge_sort,3,86750,True,
flat_valid_n128_001,flat_valid,128,,True,,True,True,True,merge_sort,4,75709,True,
flat_valid_n128_001,flat_valid,128,,True,,True,True,True,merge_sort,5,87166,True,
flat_valid_n128_001,flat_valid,128,,True,,True,True,True,quick_sort,1,40916,True,
flat_valid_n128_001,flat_valid,128,,True,,True,True,True,quick_sort,2,39334,True,
flat_valid_n128_001,flat_valid,128,,True,,True,True,True,quick_sort,3,38792,True,
flat_valid_n128_001,flat_valid,128,,True,,True,True,True,quick_sort,4,49500,True,
flat_valid_n128_001,flat_valid,128,,True,,True,True,True,quick_sort,5,40750,True,
flat_valid_n128_001,flat_valid,128,,True,,True,True,True,sort_plus_laminarity_check,1,370250,True,
flat_valid_n128_001,flat_valid,128,,True,,True,True,True,sort_plus_laminarity_check,2,370625,True,
flat_valid_n128_001,flat_valid,128,,True,,True,True,True,sort_plus_laminarity_check,3,367209,True,
flat_valid_n128_001,flat_valid,128,,True,,True,True,True,sort_plus_laminarity_check,4,367000,True,
flat_valid_n128_001,flat_valid,128,,True,,True,True,True,sort_plus_laminarity_check,5,414208,True,
flat_valid_n128_002,flat_valid,128,,True,,True,True,True,python_sort,1,1084,True,
flat_valid_n128_002,flat_valid,128,,True,,True,True,True,python_sort,2,667,True,
flat_valid_n128_002,flat_valid,128,,True,,True,True,True,python_sort,3,584,True,
flat_valid_n128_002,flat_valid,128,,True,,True,True,True,python_sort,4,584,True,
flat_valid_n128_002,flat_valid,128,,True,,True,True,True,python_sort,5,583,True,
flat_valid_n128_002,flat_valid,128,,True,,True,True,True,merge_sort,1,84250,True,
flat_valid_n128_002,flat_valid,128,,True,,True,True,True,merge_sort,2,80542,True,
flat_valid_n128_002,flat_valid,128,,True,,True,True,True,merge_sort,3,79083,True,
flat_valid_n128_002,flat_valid,128,,True,,True,True,True,merge_sort,4,78792,True,
flat_valid_n128_002,flat_valid,128,,True,,True,True,True,merge_sort,5,78500,True,
flat_valid_n128_002,flat_valid,128,,True,,True,True,True,quick_sort,1,49417,True,
flat_valid_n128_002,flat_valid,128,,True,,True,True,True,quick_sort,2,41625,True,
flat_valid_n128_002,flat_valid,128,,True,,True,True,True,quick_sort,3,38834,True,
flat_valid_n128_002,flat_valid,128,,True,,True,True,True,quick_sort,4,38458,True,
flat_valid_n128_002,flat_valid,128,,True,,True,True,True,quick_sort,5,38583,True,
flat_valid_n128_002,flat_valid,128,,True,,True,True,True,sort_plus_laminarity_check,1,372208,True,
flat_valid_n128_002,flat_valid,128,,True,,True,True,True,sort_plus_laminarity_check,2,370750,True,
flat_valid_n128_002,flat_valid,128,,True,,True,True,True,sort_plus_laminarity_check,3,369917,True,
flat_valid_n128_002,flat_valid,128,,True,,True,True,True,sort_plus_laminarity_check,4,366875,True,
flat_valid_n128_002,flat_valid,128,,True,,True,True,True,sort_plus_laminarity_check,5,371709,True,
flat_valid_n128_003,flat_valid,128,,True,,True,True,True,python_sort,1,792,True,
flat_valid_n128_003,flat_valid,128,,True,,True,True,True,python_sort,2,542,True,
flat_valid_n128_003,flat_valid,128,,True,,True,True,True,python_sort,3,625,True,
flat_valid_n128_003,flat_valid,128,,True,,True,True,True,python_sort,4,584,True,
flat_valid_n128_003,flat_valid,128,,True,,True,True,True,python_sort,5,583,True,
flat_valid_n128_003,flat_valid,128,,True,,True,True,True,merge_sort,1,79791,True,
flat_valid_n128_003,flat_valid,128,,True,,True,True,True,merge_sort,2,78459,True,
flat_valid_n128_003,flat_valid,128,,True,,True,True,True,merge_sort,3,77875,True,
flat_valid_n128_003,flat_valid,128,,True,,True,True,True,merge_sort,4,76875,True,
flat_valid_n128_003,flat_valid,128,,True,,True,True,True,merge_sort,5,73542,True,
