case_id,family,n,algorithm,measured_run_count,median_time_ns,q1_time_ns,q3_time_ns,iqr_time_ns,mean_time_ns,stdev_time_ns,all_correct,error_count
incremental_valid_n512_002,incremental_valid,512,python_sort,10,10458.0,10333,11333,1000,11170.7,1605.820527539322,True,0
incremental_valid_n512_002,incremental_valid,512,simplified_jordan_paper_ordinary_list,10,18936666.0,18909250,18984041,74791,18957087.2,93149.92411018559,True,0
incremental_valid_n512_002,incremental_valid,512,simplified_jordan_reference,10,33117250.0,33074541,33182041,107500,33135574.9,71982.48506322755,True,0
incremental_valid_n512_003,incremental_valid,512,python_sort,10,10770.5,10541,11250,709,11320.6,1554.9802571093949,True,0
incremental_valid_n512_003,incremental_valid,512,simplified_jordan_paper_ordinary_list,10,18768583.5,18712834,18868625,155791,18795283.7,96773.67516249217,True,0
incremental_valid_n512_003,incremental_valid,512,simplified_jordan_reference,10,33277645.5,33200833,33368083,167250,33266145.8,119427.61224812664,True,0
incremental_valid_n512_004,incremental_valid,512,python_sort,10,11208.0,10584,13500,2916,12004.2,2081.41777535303,True,0
incremental_valid_n512_004,incremental_valid,512,simplified_jordan_paper_ordinary_list,10,18850583.5,18672292,18948084,275792,18822071,172957.6168359045,True,0
incremental_valid_n512_004,incremental_valid,512,simplified_jordan_reference,10,33270541.5,33217125,33294125,77000,33261112.6,93081.92321605737,True,0
incremental_valid_n512_005,incremental_valid,512,python_sort,10,11270.5,10750,11959,1209,11671,1240.689772308578,True,0
incremental_valid_n512_005,incremental_valid,512,simplified_jordan_paper_ordinary_list,10,18358000.0,18171834,18393833,221999,18321204.3,165498.61418892775,True,0
incremental_valid_n512_005,incremental_valid,512,simplified_jordan_reference,10,32949645.5,32906333,32962708,56375,32934329.1,54777.62700318443,True,0
incremental_valid_n64_001,incremental_valid,64,python_sort,10,1209.0,1208,1250,42,1304.4,275.16104375438033,True,0
incremental_valid_n64_001,incremental_valid,64,simplified_jordan_paper_ordinary_list,10,1301437.5,1294667,1315750,21083,1308345.7,24213.74950564704,True,0
incremental_valid_n64_001,incremental_valid,64,simplified_jordan_reference,10,585687.5,580209,590208,9999,585058.3,5394.37192410345,True,0
incremental_valid_n64_002,incremental_valid,64,python_sort,10,1458.0,1417,1500,83,1450,54.85739087245522,True,0
incremental_valid_n64_002,incremental_valid,64,simplified_jordan_paper_ordinary_list,10,1264042.0,1254458,1271125,16667,1265779.3,13315.388675013082,True,0
incremental_valid_n64_002,incremental_valid,64,simplified_jordan_reference,10,588375.0,583458,595375,11917,591595.8,12354.457331487918,True,0
incremental_valid_n64_003,incremental_valid,64,python_sort,10,1437.5,1416,1500,84,1449.9,51.323483903569915,True,0
incremental_valid_n64_003,incremental_valid,64,simplified_jordan_paper_ordinary_list,10,1311729.0,1308458,1328833,20375,1317633.3,15418.359590292202,True,0
incremental_valid_n64_003,incremental_valid,64,simplified_jordan_reference,10,592833.5,588000,597667,9667,593496,7550.5916618795145,True,0
incremental_valid_n64_004,incremental_valid,64,python_sort,10,1416.0,1375,1458,83,1445.7,98.33621464705213,True,0
incremental_valid_n64_004,incremental_valid,64,simplified_jordan_paper_ordinary_list,10,1298042.0,1277500,1305750,28250,1308625,57326.348762540634,True,0
